HotelID,HotelName
3777,CIS Columbus Airport
3778,CIS HorseheadsNY 9203
3780,CIS SpringfieldOH 9205
3845,Courtyard Anaheim Buena Park
3842,Courtyard Atlanta Executive Park Emory
3843,Courtyard Augusta
3852,Courtyard Charlotte Arrowood
3853,Courtyard Chicago Naperville
3854,Courtyard Cincinnati Blue Ash
3855,Courtyard Costa Mesa South Coast Metro
3841,Courtyard Dallas Arlington
3856,Courtyard Dallas Las Colinas
3858,Courtyard Detroit Dearborn
3859,Courtyard Detroit Troy
3860,Courtyard Detroit Warren
3863,Courtyard Fremont Silicon Valley
3864,Courtyard Hartford Windsor
3865,Courtyard Herndon Reston
3868,Courtyard Melbourne West
3869,Courtyard Memphis East Park Avenue
3870,Courtyard Miami Airport
3871,Courtyard Miami Airport West Doral Area
3873,Courtyard Nashville Brentwood
3876,Courtyard Philadelphia Valley Forge King of Prussia
3877,Courtyard Phoenix Airport
3878,Courtyard Pleasanton
3879,Courtyard Raleigh Midtown
3881,Courtyard Richmond West
3882,Courtyard Rockville
3880,Courtyard Sacramento Rancho Cordova
3887,Courtyard San Francisco Airport
3888,Courtyard Savannah Midtown
3889,Courtyard Tallahassee Capital
3890,Courtyard Tarrytown Greenburgh
3975,CS RochesterNY 9201
3840,CY Amarillo WestTX 9206
3846,CY Atlantic CityNJ 9645
3844,CY BloomingdaleIL 9207
3857,CY Dayton NorthOH 9208
3861,CY FlintMI 9209
3862,CY FolsomCA 9210
3847,CY Fort Lauderdale Cypress CreekFL 9638
3335,CY GreshamOR 9956
3849,CY KeeneNH 9807
3866,CY Las Vegas SouthNV 9211
3867,CY LewisvilleTX 9212
3850,CY Manchester AirportNH 9806
3874,CY MontgomeryvillePA 9214
3851,CY MontvaleNJ 9615
3872,CY Morgan HillCA 9213
3875,CY PalmdaleCA 9215
4369,CY Phoenix Mesa AirportAZ 9952
3892,CY Potomac MillsVA 9220
3884,CY Roseville GalleriaCA 9217
3883,CY RosevilleCA 9216
3885,CY SalinasCA 9218
3891,CY TopekaKS 9219
3789,FFI ClairsvilleOH 9221
3792,FFI DeptfordNJ 9223
3784,FFI El PasoTX 9907
3793,FFI EriePA 9224
4808,FFI HomesteadFL 9955
3794,FFI Joliet SouthIL 9225
3795,FFI Las Vegas SouthNV 9226
3796,FFI Philadelphia AirportPA 9227
3797,FFI RosevilleCA 9228
4368,FFI RoswellNM 9950
3798,FFI Scranton PA 9229
3799,FFI TracyCA 9230
3791,FFI Twentynine PalmsCA 5650
3800,FFI VacavilleCA 9231
3801,FFI VisaliaCA 9232
3802,FFI Warren NilesOH 9233
3790,FFI WoodlandsTX 9222
3970,FP Fort Walton BeachFL 9626
3971,FP PleasantonCA 9288
4515,H2 LongmontCO 9954
3817,HAMP BinghamtonNY 9242
3809,HAMP ChandlerAZ 9235
3810,HAMP ColumbiaMD 9646
3811,HAMP FairbornOH 9236
3812,HAMP Fairview HeightsIL 9237
3813,HAMP ForsythIL 9238
3814,HAMP Fort Lauderdale Cypress CreekFL 9239
3805,HAMP Fort Wayne NorthIN 9234
3815,HAMP Houston Hobby AirportTX 9240
3820,HAMP IslandiaNY 9624
3816,HAMP JacksonMI 9241
3806,HAMP LancasterCA 9903
3818,HAMP LaredoTX 9243
3819,HAMP Lexington AirportKY 9244
3821,HAMP Louisville DowntownKY 9608
3822,HAMP Memphis Walnut GroveTN 9245
3823,HAMP Naples CentralFL 9637
3808,HAMP PalmdaleCA 9906
